,neighborhood,current_cases,cases_per_100k,ds,ds_3_days_ago,new_cases_last_3_days,lat,long,region
0,Acton,10.0,125.45,2020-05-16,2020-05-13,2.0,34.47,-118.1967,Antelope Valley
1,Adams-Normandie,35.0,426.73,2020-05-16,2020-05-13,2.0,34.0343,-118.2993,South L.A.
2,Agoura Hills,33.0,158.02,2020-05-16,2020-05-13,1.0,34.1364,-118.7745,Santa Monica Mountains
3,Agua Dulce,4.0,96.2,2020-05-16,2020-05-13,1.0,,,
4,Alhambra,148.0,170.66,2020-05-16,2020-05-13,13.0,34.0953,-118.12700000000001,San Gabriel Valley
5,Alsace,38.0,305.34,2020-05-16,2020-05-13,1.0,33.9786,-118.4156,Westside
6,Altadena,124.0,284.27,2020-05-16,2020-05-13,10.0,34.1902,-118.1313,Verdugos
7,Anaverde,1.0,66.31,2020-05-16,2020-05-13,0.0,,,
8,Angeles National Forest,0.0,0.0,2020-05-16,2020-05-13,0.0,,,
9,Angelino Heights,12.0,479.62,2020-05-16,2020-05-13,1.0,34.0703,-118.2548,Central L.A.
10,Arcadia,71.0,112.55,2020-05-16,2020-05-13,5.0,34.1397,-118.0353,San Gabriel Valley
11,Arleta,193.0,561.54,2020-05-16,2020-05-13,16.0,34.2419,-118.4256,San Fernando Valley
12,Artesia,20.0,119.08,2020-05-16,2020-05-13,3.0,33.8658,-118.0831,Southeast
13,Athens Village,22.0,449.25,2020-05-16,2020-05-13,2.0,33.92,-118.2812,South L.A.
14,Athens-Westmont,164.0,386.41,2020-05-16,2020-05-13,17.0,33.9238,-118.3019,South L.A.
15,Atwater Village,39.0,265.92,2020-05-16,2020-05-13,1.0,34.1173,-118.2614,Northeast L.A.
16,Avalon,0.0,0.0,2020-05-16,2020-05-13,0.0,,,
17,Avocado Heights,14.0,206.64,2020-05-16,2020-05-13,0.0,34.0361,-117.9912,San Gabriel Valley
18,Azusa,156.0,244.93,2020-05-16,2020-05-13,9.0,34.1336,-117.9076,San Gabriel Valley
19,Baldwin Hills,111.0,356.63,2020-05-16,2020-05-13,12.0,34.0047,-118.3415,South L.A.
20,Baldwin Park,191.0,248.8,2020-05-16,2020-05-13,23.0,34.0853,-117.9609,San Gabriel Valley
21,Bassett,48.0,323.95,2020-05-16,2020-05-13,5.0,34.0758,-118.3678,Central L.A.
22,Bel Air,32.0,379.64,2020-05-16,2020-05-13,0.0,34.0833,-118.4487,Westside
23,Bell,183.0,503.69,2020-05-16,2020-05-13,6.0,33.9761,-118.1851,Southeast
24,Bell Gardens,158.0,366.84,2020-05-16,2020-05-13,9.0,33.9653,-118.1515,Southeast
25,Bellflower,236.0,303.6,2020-05-16,2020-05-13,20.0,33.88221,-118.118,Southeast
26,Beverly Crest,36.0,287.43,2020-05-16,2020-05-13,1.0,34.1024,-118.4163,Westside
27,Beverly Hills,124.0,359.21,2020-05-16,2020-05-13,4.0,34.0736,-118.4004,Westside
28,Beverlywood,34.0,258.1,2020-05-16,2020-05-13,0.0,34.0409,-118.3919,Westside
29,Bouquet Canyon,0.0,0.0,2020-05-16,2020-05-13,0.0,,,
30,Boyle Heights,388.0,446.57,2020-05-16,2020-05-13,39.0,34.0339,-118.2054,Eastside
31,Bradbury,2.0,187.09,2020-05-16,2020-05-13,0.0,,,
32,Brentwood,74.0,239.06,2020-05-16,2020-05-13,4.0,34.0519,-118.4731,Westside
33,Brookside,0.0,0.0,2020-05-16,2020-05-13,0.0,,,
34,Burbank,342.0,319.09,2020-05-16,2020-05-13,24.0,34.1808,-118.309,San Fernando Valley
35,Cadillac-Corning,26.0,365.12,2020-05-16,2020-05-13,1.0,34.040282,-118.38025,Central L.A.
36,Calabasas,50.0,205.57,2020-05-16,2020-05-13,2.0,34.1383,-118.6608,Santa Monica Mountains
37,Canoga Park,420.0,643.29,2020-05-16,2020-05-13,24.0,34.2011,-118.5981,San Fernando Valley
38,Canyon Country,32.0,414.08,2020-05-16,2020-05-13,2.0,34.4245,-118.4711,Northwest County
39,Carson,341.0,363.36,2020-05-16,2020-05-13,18.0,33.8374,-118.2559,Harbor
40,Carthay,71.0,494.33,2020-05-16,2020-05-13,0.0,34.0573,-118.3679,Central L.A.
41,Castaic,267.0,981.94,2020-05-16,2020-05-13,38.0,34.4889,-118.6229,Northwest County
42,Central,232.0,594.99,2020-05-16,2020-05-13,21.0,34.0833,-118.4487,Westside
43,Century City,33.0,257.97,2020-05-16,2020-05-13,0.0,34.0556,-118.4179,Westside
44,Century Palms/Cove,152.0,450.16,2020-05-16,2020-05-13,15.0,33.9461,-118.2732,South L.A.
45,Cerritos,83.0,165.78,2020-05-16,2020-05-13,5.0,33.8584,-118.0648,Southeast
46,Charter Oak,0.0,0.0,2020-05-16,2020-05-13,0.0,,,
47,Chatsworth,151.0,407.44,2020-05-16,2020-05-13,15.0,34.2506,-118.6148,San Fernando Valley
